S.no,Constituency,Party,Majority,latitude,longitude,MajorityVotes
1,Andaman & Nicobar Islands,INC,1407,10.2188344,92.5771329,1.407
1,Araku,YCP,224089,18.3329216,82.8652583,224.089
2,Srikakulam,Other,6653,18.32002205,83.9160772,6.653
3,Vizianagaram,YCP,48036,18.1120819,83.40521962,48.036
4,Visakhapatnam,YCP,4414,17.7231276,83.3012842,4.414
5,Anakapalli,YCP,89192,17.6858653,82.9884187,89.192
6,Kakinada,YCP,25738,16.9437385,82.2350607,25.738
7,Amalapuram,YCP,39966,16.57950675,81.99732471,39.966
8,Rajahmundry,YCP,121634,17.0050454,81.7804732,121.634
9,Narasapuram,YCP,31909,16.4386275,81.7015011,31.909
10,Eluru,YCP,165925,16.67613485,81.17086824,165.925
11,Machilipatnam,YCP,60141,16.1819393,81.1351299,60.141
12,Vijayawada,Other,8726,16.5087586,80.6185102,8.726
13,Guntur,Other,4205,16.2915189,80.4541588,4.205
14,Narasaraopet,YCP,153978,16.2389242,80.0472879,153.978
15,Bapatla,YCP,16065,15.9052608,80.4680501,16.065
16,Ongole,YCP,214851,15.5075545,80.06078519,214.851
17,Nandyal,YCP,250119,15.47537735,78.47855757,250.119
18,Kurnool,YCP,148889,15.8309251,78.0425373,148.889
19,Anantapur,YCP,141428,14.6546235,77.55625984,141.428
20,Hindupur,YCP,140748,13.826383,77.4937723,140.748
21,Kadapa,YCP,380976,14.4752936,78.8216861,380.976
22,Nellore,YCP,148571,14.4493717,79.9873763,148.571
23,Tirupati,YCP,228376,13.6316368,79.4231711,228.376
24,Rajampet,YCP,268284,14.200322,79.11028622,268.284
25,Chittoor,YCP,137271,13.1601048,79.15555062,137.271
1,Arunachal West,BJP,174843,27.6891712,96.4597226,174.843
2,Arunachal East,BJP,69948,27.6891712,96.4597226,69.948
1,Karimganj,BJP,38389,24.8483482,92.33221292,38.389
2,Silchar,BJP,81596,24.8178611,92.75622075,81.596
3,Autonomous District,BJP,239626,22.5299705,92.90378493,239.626
4,Dhubri,AIUDF,226258,26.01894625,89.94188952,226.258
5,Kokrajhar,I,37786,26.58687695,90.29293105,37.786
6,Barpeta,INC,140307,26.34142215,91.01674328,140.307
7,Gauhati,BJP,345606,26.1805978,91.753943,345.606
8,Mangaldoi,BJP,138545,26.4853336,92.04490249,138.545
9,Tezpur,BJP,242841,26.61695705,92.76500717,242.841
10,Nowgong,INC,16752,26.133333,92.666667,16.752
11,Kaliabor,INC,209994,26.5493378,92.98563014,209.994
12,Jorhat,BJP,82653,26.7577925,94.2079645,82.653
13,Dibrugarh,BJP,364566,27.4844597,94.9019447,364.566
14,Lakhimpur,BJP,350551,27.98506015,80.75384538,350.551
1,Valmiki Nagar,JDU,354616,19.0652106,72.8552738,354.616
2,Paschim Champaran,BJP,293906,26.7967626,84.5007513,293.906
3,Purvi Champaran,BJP,293648,26.6098,84.8568,293.648
4,Sheohar,JDU,340360,26.49436945,85.2728056,340.36
5,Sitamarhi,JDU,250539,26.5876547,85.5056744,250.539
6,Madhubani,BJP,454940,26.350072,86.22914689,454.94
7,Jhanjharpur,JDU,322951,26.287153,86.34039252,322.951
8,Supaul,JDU,266853,26.2768118,86.79658663,266.853
9,Araria,BJP,137241,26.26498795,87.37162648,137.241
10,Kishanganj,INC,34466,26.29863795,87.95314811,34.466
11,Katihar,JDU,57203,25.56090035,87.64765354,57.203
12,Purnia,JDU,263461,25.7773601,87.4731227,263.461
13,Madhepura,JDU,301527,25.9259562,86.82042961,301.527
14,Darbhanga,BJP,267979,26.08314325,86.03257097,267.979
15,Muzaffarpur,BJP,409988,26.1486581,85.34001282,409.988
16,Vaishali,LJP,234584,25.75,85.416667,234.584
17,Gopalganj,JDU,286434,26.4207265,84.37406407,286.434
18,Siwan,JDU,116958,26.1310043,84.39125661,116.958
19,Maharajganj,BJP,230772,27.09254225,83.56696261,230.772
20,Saran,BJP,138429,25.90835495,84.78074761,138.429
21,Hajipur,LJP,205449,25.7205805,85.25555961,205.449
22,Ujiarpur,BJP,277278,25.7590443,85.81711836,277.278
23,Samastipur,LJP,251643,25.7744929,85.86626813,251.643
24,Begusarai,BJP,422217,25.5127194,86.09057109,422.217
25,Khagaria,LJP,248570,25.4916868,86.69910848,248.57
26,Bhagalpur,JDU,277630,25.28669805,87.13225355,277.63
27,Banka,JDU,200532,24.8655681,86.87278642,200.532
28,Munger,JDU,167937,25.22081165,86.51720367,167.937
29,Nalanda,JDU,256137,25.1364914,85.44365465,256.137
30,Patna Sahib,BJP,284657,25.585981,85.2306042,284.657
31,Pataliputra,BJP,39321,13.2780619,78.0427444,39.321
32,Arrah,BJP,147285,25.62345725,84.59683869,147.285
33,Buxar,BJP,117609,25.5620715,84.01567205,117.609
34,Sasaram,BJP,165745,24.9001003,84.01821107,165.745
35,Karakat,JDU,84542,25.1697215,84.2974162,84.542
36,Jahanabad,JDU,1751,25.2420022,85.0206457,1.751
37,Aurangabad,BJP,72607,19.877263,75.3390241,72.607
38,Gaya,JDU,152426,24.7964355,85.0079563,152.426
39,Nawada,LJP,148072,24.818124,85.51855623,148.072
40,Jamui,LJP,241049,24.96785205,86.17351147,241.049
1,Chandigarh,BJP,46970,30.7194022,76.7646552,46.97
1,Sarguja,BJP,157873,22.9494,83.1649,157.873
2,Raigarh,BJP,66027,22.5,83.5,66.027
3,Janjgir-Champa,BJP,83255,21.9671264,82.66472425,83.255
4,Korba,INC,26349,22.51976955,82.62951462,26.349
5,Bilaspur,BJP,141763,28.8680526,79.29838501,141.763
6,Rajnandgaon,BJP,111966,20.9727404,80.69155548,111.966
7,Durg,BJP,391978,21.19903535,81.39795456,391.978
8,Raipur,BJP,348238,21.2379469,81.6336833,348.238
9,Mahasamund,BJP,90511,21.1882332,82.48484762,90.511
10,Bastar,INC,38982,19.11912825,81.82918649,38.982
11,Kanker,BJP,6914,20.1270026,80.98109349,6.914
1,Dadra And Nagar Haveli,I,9001,20.2735169,73.0043578,9.001
1,Daman And Diu,BJP,9942,20.4148865,72.8334609,9.942
1,Chandni Chowk,BJP,228145,28.6559834,77.2321937,228.145
2,North East Delhi,BJP,366102,28.72330795,77.26685651,366.102
3,East Delhi,BJP,391222,28.6204767,77.30918071,391.222
4,New Delhi,BJP,256504,28.6141793,77.2022662,256.504
5,North West Delhi,BJP,553897,28.6141793,77.2022662,553.897
6,West Delhi,BJP,578486,28.6479519,77.08556541,578.486
7,South Delhi,BJP,367043,28.4851694,77.19637972,367.043
1,North Goa,BJP,80247,15.60444125,74.00172406,80.247
2,South Goa,INC,9755,15.21961365,74.1152813,9.755
1,Kachchh,BJP,305513,23.583333,70,305.513
2,Banaskantha,BJP,368296,24.172056,72.431134,368.296
3,Patan,BJP,193879,23.77405735,71.68373466,193.879
4,Mahesana,BJP,281519,23.666667,72.5,281.519
5,Sabarkantha,BJP,268987,24.0294885,73.0459884,268.987
6,Gandhinagar,BJP,557014,23.2232877,72.6492267,557.014
7,Ahmedabad East,BJP,434330,23.0216238,72.5797068,434.33
8,Ahmedabad West,BJP,321546,23.0216238,72.5797068,321.546
9,Surendranagar,BJP,277437,22.75,71.666667,277.437
10,Rajkot,BJP,368407,22.3051991,70.8028335,368.407
11,Porbandar,BJP,229823,21.6409,69.611,229.823
12,Jamnagar,BJP,236804,22.4732415,70.0552102,236.804
13,Junagadh,BJP,150185,21.5185589,70.45917212,150.185
14,Amreli,BJP,201431,20.866667,70.75,201.431
15,Bhavnagar,BJP,329519,21.7718836,72.1416449,329.519
16,Anand,BJP,197718,22.5584995,72.9625629,197.718
17,Kheda,BJP,367145,22.75,72.833333,367.145
18,Panchmahal,BJP,428541,28.6271026,77.31016494,428.541
19,Dahod,BJP,127596,22.8358542,74.2556782,127.596
20,Vadodara,BJP,589177,22.2973142,73.1942567,589.177
21,Chhota Udaipur,BJP,377943,22.3048651,74.0126114,377.943
22,Bharuch,BJP,334214,21.75,73,334.214
23,Bardoli,BJP,215447,21.1220023,73.1135988,215.447
24,Surat,BJP,548230,21.1864607,72.8081281,548.23
25,Navsari,BJP,689668,20.952407,72.9323831,689.668
26,Valsad,BJP,353797,20.4324018,73.14117156,353.797
1,Ambala,BJP,342345,30.3843674,76.770421,342.345
2,Kurukshetra,BJP,384591,29.9693747,76.8482787,384.591
3,Sirsa,BJP,309918,29.583333,75.083333,309.918
4,Hisar,BJP,314068,29.168807,75.7461103,314.068
5,Karnal,BJP,656142,29.6803266,76.9896254,656.142
6,Sonipat,BJP,164864,29.0033144,77.0167323,164.864
7,Rohtak,BJP,7503,28.9010899,76.5801935,7.503
8,BhiwaniMahendragarh,BJP,444463,28.2734,76.1401,444.463
9,Gurgaon,BJP,386256,28.42826235,77.00270015,386.256
10,Faridabad,BJP,638239,28.402837,77.3085626,638.239
1,Kangra,BJP,477623,32.166667,76.25,477.623
2,Mandi,BJP,405459,33.8688299,74.31880473,405.459
3,Hamirpur,BJP,399572,25.75,80,399.572
4,Shimla,BJP,327515,31.1041526,77.1709729,327.515
1,Baramulla,Other,30758,34.20500565,74.36221081,30.758
2,Srinagar,Other,70050,34.0747444,74.8204443,70.05
3,Anantnag,Other,6676,33.74610995,75.18544753,6.676
4,Ladakh,BJP,10930,33.9456407,77.6568576,10.93
5,Udhampur,BJP,357252,33,75.166667,357.252
6,Jammu,BJP,302875,32.7185614,74.8580917,302.875
1,Rajmahal,Other,99195,24.9911245,87.82892528,99.195
2,Dumka,BJP,47590,24.2538512,87.30064714,47.59
3,Godda,BJP,184227,24.74334305,87.29285062,184.227
4,Chatra,BJP,377871,24.20162495,84.87817692,377.871
5,Kodarma,BJP,455600,24.54215575,85.69323966,455.6
6,Giridih,Other,248347,24.25,85.916667,248.347
7,Dhanbad,BJP,486194,23.7952809,86.4309638,486.194
8,Ranchi,BJP,283026,23.3700354,85.3250132,283.026
9,Jamshedpur,BJP,302090,22.8015194,86.2029579,302.09
10,Singhbhum,INC,72155,22.5,85.5,72.155
11,Khunti,BJP,1445,23.10018105,85.34545936,1.445
12,Lohardaga,BJP,10363,23.46920055,84.73568423,10.363
13,Palamau,BJP,477606,23.68172835,84.13918442,477.606
14,Hazaribagh,BJP,479548,23.9675151,85.43884569,479.548
1,Chikkodi,BJP,118877,16.4265276,74.5861323,118.877
2,Belgaum,BJP,391304,15.8572666,74.5069343,391.304
3,Bagalkot,BJP,168187,16.1853166,75.6967919,168.187
4,Bijapur,BJP,258038,18.76904135,80.74151193,258.038
5,Gulbarga,BJP,95452,17.166667,77.083333,95.452
6,Raichur,BJP,117716,16.083333,77.166667,117.716
7,Bidar,BJP,116834,18.083333,77.333333,116.834
8,Koppal,BJP,38397,15.3484144,76.1547421,38.397
9,Bellary,BJP,55707,15.1467299,76.9125211,55.707
10,Haveri,BJP,140882,14.7874825,75.3996731,140.882
11,Dharwad,BJP,205072,15.4540505,75.0066516,205.072
12,Uttara Kannada,BJP,479649,14.72447415,74.64223734,479.649
13,Davanagere,BJP,169702,14.4661266,75.9206361,169.702
14,Shimoga,BJP,223360,13.9311723,75.569737,223.36
15,Udupi Chikmagalur,BJP,349599,13.3409,74.7421,349.599
16,Hassan,JDU,141324,13.0070817,76.0992703,141.324
17,Dakshina Kannada,BJP,274621,12.82133045,75.22767163,274.621
18,Chitradurga,BJP,80178,14.2266443,76.4005122,80.178
19,Tumkur,BJP,13339,13.3400771,77.1006208,13.339
20,Mandya,I,125876,12.5238888,76.8961961,125.876
21,Mysore,BJP,138647,12.3051828,76.6553609,138.647
22,Chamarajanagar,BJP,1817,11.9346006,76.9328209,1.817
23,Bangalore Rural,INC,206870,13.0010872,77.3361225,206.87
24,Bangalore North,BJP,147518,13.07284355,77.53217172,147.518
25,Bangalore Central,BJP,70968,12.97339325,77.61123427,70.968
26,Bangalore South,BJP,331192,12.8624679,77.56089326,331.192
27,Chikballapur,BJP,182110,13.4274405,77.7321433,182.11
28,Kolar,BJP,210021,13.1369996,78.1339606,210.021
1,Kasaragod,INC,40438,12.42171305,75.19044977,40.438
2,Kannur,INC,94559,11.8762254,75.3738043,94.559
3,Vatakara,INC,84663,11.59681865,75.58805091,84.663
4,Wayanad,INC,431770,11.715219,76.12690295,431.77
5,Kozhikode,INC,85225,11.2446144,75.7759372,85.225
6,Malappuram,Other,260153,11.10684475,76.1099551,260.153
7,Ponnani,Other,193273,10.77482195,75.97976803,193.273
8,Palakkad,INC,11637,10.7691989,76.6512469,11.637
9,Alathur,INC,158968,11.13473975,78.90812918,158.968
10,Thrissur,INC,93633,10.5256264,76.2132542,93.633
11,Chalakudy,INC,132274,10.302391,76.3215544,132.274
12,Ernakulam,INC,169153,10.0383947,76.50741452,169.153
13,Idukki,INC,171053,9.8497872,76.9797914,171.053
14,Kottayam,Other,106259,9.62857045,76.64552503,106.259
15,Alappuzha,Other,10474,9.48870055,76.41256411,10.474
16,Mavelikkara,INC,61138,9.20934285,76.58039263,61.138
17,Pathanamthitta,INC,44243,9.2834044,76.96066276,44.243
18,Kollam,Other,148856,8.96699645,76.8582888,148.856
19,Attingal,INC,38247,8.6960538,76.814869,38.247
20,Thiruvananthapuram,INC,99989,8.5058909,76.9570481,99.989
1,Lakshadweep,Other,823,10.8832771,72.8171069,0.823
1,Morena,BJP,113341,26.166667,77.5,113.341
2,Bhind,BJP,199885,26.5,78.75,199.885
3,Gwalior,BJP,146842,26.2037247,78.1573628,146.842
4,Guna,BJP,125549,24.5,77.5,125.549
5,Sagar,BJP,305542,23.80961225,78.75911361,305.542
6,Tikamgarh,BJP,348059,24.85450275,79.04698124,348.059
7,Damoh,BJP,353411,23.75,79.583333,353.411
8,Khajuraho,BJP,492382,24.8515132,79.9259786,492.382
9,Satna,BJP,231473,24.5,81,231.473
10,Rewa,BJP,312807,24.75926685,81.65500021,312.807
11,Sidhi,BJP,286524,24.25,82,286.524
12,Shahdol,BJP,403333,23.6522784,81.43026444,403.333
13,Jabalpur,BJP,454744,23.1608938,79.9497702,454.744
14,Mandla,BJP,97674,22.68536625,80.58150562,97.674
15,Balaghat,BJP,242066,21.966667,80.333333,242.066
16,Chhindwara,INC,37536,22.13983105,78.80964495,37.536
17,Hoshangabad,BJP,553682,22.6001502,77.92664521,553.682
18,Vidisha,BJP,503084,23.916667,78,503.084
19,Bhopal,BJP,364822,23.2530923,77.3962718,364.822
20,Rajgarh,BJP,431019,23.87167135,76.7748902,431.019
21,Dewas,BJP,372249,23,76.166667,372.249
22,Ujjain,BJP,365637,23.174597,75.7851423,365.637
23,Mandsaur,BJP,376734,24.2651306,75.38718194,376.734
24,Ratlam,BJP,90636,23.50195775,74.95284519,90.636
25,Dhar,BJP,156029,22.5,75.25,156.029
26,Indore,BJP,547754,22.7203616,75.8681996,547.754
27,Khargone,BJP,202510,21.8187743,75.6064577,202.51
28,Khandwa,BJP,273343,21.9778642,76.56882823,273.343
29,Betul,BJP,360241,21.8796162,77.87568125,360.241
1,Nandurbar,BJP,95629,21.36599895,74.28400358,95.629
2,Dhule,BJP,229243,21.13050145,74.47891181,229.243
3,Jalgaon,BJP,411617,20.84351185,75.52592659,411.617
4,Raver,BJP,335882,21.22876205,75.99841514,335.882
5,Buldhana,SS,133287,20.583333,76.416667,133.287
6,Akola,BJP,275596,20.7618624,77.19217163,275.596
7,Amravati,I,36951,21.15454115,77.64429618,36.951
8,Wardha,BJP,187191,20.82562315,78.6131455,187.191
9,Ramtek,SS,126783,21.3957522,79.3257474,126.783
10,Nagpur,BJP,216009,21.1498134,79.0820556,216.009
11,Bhandara-Gondiya,BJP,197394,20.9847,79.9193,197.394
12,Gadchiroli-Chimur,BJP,77526,19.4969,80.2769,77.526
13,Chandrapur,INC,44763,26.21231825,91.89620685,44.763
14,Yavatmal-Washim,SS,117939,20.1119,77.1313,117.939
15,Hingoli,SS,277856,19.54140965,77.17376601,277.856
16,Nanded,BJP,40148,19.09400875,77.48319215,40.148
17,Parbhani,SS,42199,19.29031365,76.60290343,42.199
18,Jalna,BJP,332815,19.9182328,75.86862469,332.815
19,Aurangabad,AIMM,4492,19.877263,75.3390241,4.492
20,Dindori,BJP,198779,20.25527235,73.80730056,198.779
21,Nashik,SS,292204,20.0112475,73.7902364,292.204
22,Palghar,SS,88883,19.68086385,72.82537343,88.883
23,Bhiwandi,BJP,156329,19.3625308,73.07847468,156.329
24,Kalyan,SS,344343,19.2716301,73.23586553,344.343
25,Thane,SS,412145,19.1943294,72.9701779,412.145
26,Mumbai North,BJP,465247,18.9387711,72.8353355,465.247
27,Mumbai North West,SS,260328,18.9387711,72.8353355,260.328
28,Mumbai North East,BJP,226486,18.9387711,72.8353355,226.486
29,Mumbai North Central,BJP,130005,5.4168728,100.3400144,130.005
